db,native,term_name,pvalue,significant,description,term_size,query_size,overlap,effective_domain_size,precision,recall,query,parents,term_id,fdr,intersection_genes
GO:BP,GO:0031669,cellular response to nutrient levels,0.212772096603689,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of nutrients."" [GOC:mah]",248,10,3,21026,0.3,0.012096774193548387,query_1,"['GO:0031667', 'GO:0051716']",GO:0031669,,
GO:BP,GO:0051248,negative regulation of protein metabolic process,0.2227885797037184,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of chemical reactions and pathways involving a protein."" [GOC:ai]",677,10,4,21026,0.4,0.005908419497784343,query_1,"['GO:0010605', 'GO:0019538', 'GO:0051246']",GO:0051248,,
GO:BP,GO:0071216,cellular response to biotic stimulus,0.2230535065413159,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a biotic stimulus, a stimulus caused or produced by a living organism."" [GOC:mah]",252,10,3,21026,0.3,0.011904761904761904,query_1,"['GO:0009607', 'GO:0051716']",GO:0071216,,
GO:CC,GO:0120025,plasma membrane bounded cell projection,0.22385837137337958,True,"""A prolongation or process extending from a cell and that is bounded by plasma membrane, e.g. a cilium, lamellipodium, or axon."" [GOC:krc]",2323,10,5,22149,0.5,0.002152389151958674,query_1,['GO:0042995'],GO:0120025,,
GO:BP,GO:0032502,developmental process,0.23131482572939385,True,"""A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."" [GOC:isa_complete]",6553,10,9,21026,0.9,0.0013734167556844193,query_1,['GO:0008150'],GO:0032502,,
GO:BP,GO:1900087,positive regulation of G1/S transition of mitotic cell cycle,0.2318185806452582,True,"""Any signaling pathway that increases or activates a cell cycle cyclin-dependent protein kinase to modulate the switch from G1 phase to S phase of the mitotic cell cycle."" [GOC:mtg_cell_cycle]",45,10,2,21026,0.2,0.044444444444444446,query_1,"['GO:0000082', 'GO:1901992', 'GO:1902808', 'GO:2000045']",GO:1900087,,
GO:BP,GO:2000772,regulation of cellular senescence,0.2318185806452582,True,"""Any process that modulates the frequency, rate or extent of cellular senescence."" [GOC:BHF]",45,10,2,21026,0.2,0.044444444444444446,query_1,"['GO:0050794', 'GO:0090398']",GO:2000772,,
REAC,REAC:R-HSA-6791312,TP53 Regulates Transcription of Cell Cycle Genes,0.23474040063394447,True,TP53 Regulates Transcription of Cell Cycle Genes,49,10,2,11004,0.2,0.04081632653061224,query_1,['REAC:R-HSA-3700989'],REAC:R-HSA-6791312,,
KEGG,KEGG:04662,B cell receptor signaling pathway,0.23651696813506726,True,B cell receptor signaling pathway,81,10,2,8484,0.2,0.024691358024691357,query_1,['KEGG:00000'],KEGG:04662,,
REAC,REAC:R-HSA-5689880,Ub-specific processing proteases,0.2373632560495973,True,Ub-specific processing proteases,221,10,3,11004,0.3,0.013574660633484163,query_1,['REAC:R-HSA-5688426'],REAC:R-HSA-5689880,,
GO:BP,GO:0071363,cellular response to growth factor stimulus,0.23837887437758548,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]",689,10,4,21026,0.4,0.005805515239477504,query_1,"['GO:0070848', 'GO:0071495']",GO:0071363,,
GO:BP,GO:0050896,response to stimulus,0.23913029966446822,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",8999,10,10,21026,1.0,0.00111123458162018,query_1,['GO:0008150'],GO:0050896,,
REAC,REAC:R-HSA-2173793,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,0.24440267651541744,True,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer,50,10,2,11004,0.2,0.04,query_1,"['REAC:R-HSA-170834', 'REAC:R-HSA-212436']",REAC:R-HSA-2173793,,
REAC,REAC:R-HSA-5674404,PTEN Loss of Function in Cancer,0.24965946449040133,True,PTEN Loss of Function in Cancer,1,10,1,11004,0.1,1.0,query_1,['REAC:R-HSA-2219528'],REAC:R-HSA-5674404,,
REAC,REAC:R-HSA-9723905,Loss of function of TP53 in cancer due to loss of tetramerization ability,0.24965946449040133,True,Loss of function of TP53 in cancer due to loss of tetramerization ability,1,10,1,11004,0.1,1.0,query_1,['REAC:R-HSA-9723907'],REAC:R-HSA-9723905,,
REAC,REAC:R-HSA-9723907,Loss of Function of TP53 in Cancer,0.24965946449040133,True,Loss of Function of TP53 in Cancer,1,10,1,11004,0.1,1.0,query_1,['REAC:R-HSA-9734009'],REAC:R-HSA-9723907,,
GO:BP,GO:0031641,regulation of myelination,0.2529987262253786,True,"""Any process that modulates the frequency, rate or extent of the formation of a myelin sheath around nerve axons."" [GOC:mah]",47,10,2,21026,0.2,0.0425531914893617,query_1,"['GO:0042552', 'GO:0050794', 'GO:0051960']",GO:0031641,,
GO:BP,GO:1902116,negative regulation of organelle assembly,0.2529987262253786,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of organelle assembly."" [GOC:pr, GOC:TermGenie]",47,10,2,21026,0.2,0.0425531914893617,query_1,"['GO:0010639', 'GO:0070925', 'GO:1902115']",GO:1902116,,
GO:BP,GO:0060711,labyrinthine layer development,0.2529987262253786,True,"""The process in which the labyrinthine layer of the placenta progresses, from its formation to its mature state."" [GOC:dph]",47,10,2,21026,0.2,0.0425531914893617,query_1,"['GO:0001892', 'GO:0048856']",GO:0060711,,
GO:CC,GO:0030054,cell junction,0.25992118696354316,True,"""A cellular component that forms a specialized region of connection between two or more cells, or between a cell and the extracellular matrix, or between two membrane-bound components of a cell, such as flagella."" [GOC:aruk, GOC:bc, GOC:mah, ISBN:0198506732, PMID:26820516, PMID:28096264]",2401,10,5,22149,0.5,0.0020824656393169513,query_1,['GO:0110165'],GO:0030054,,
GO:BP,GO:0003007,heart morphogenesis,0.26157691639041214,True,"""The developmental process in which the heart is generated and organized. The heart is a hollow, muscular organ, which, by contracting rhythmically, keeps up the circulation of the blood."" [GOC:dph, GOC:isa_complete]",266,10,3,21026,0.3,0.011278195488721804,query_1,"['GO:0007507', 'GO:0009887']",GO:0003007,,
GO:MF,GO:0001216,DNA-binding transcription activator activity,0.262569015029473,True,"""A DNA-binding transcription factor activity that activates or increases transcription of specific gene sets."" [GOC:txnOH-2018]",486,10,3,20246,0.3,0.006172839506172839,query_1,['GO:0003700'],GO:0001216,,
GO:BP,GO:0031295,T cell costimulation,0.26393168847545456,True,"""The process of providing, via surface-bound receptor-ligand pairs, a second, antigen-independent, signal in addition to that provided by the T cell receptor to augment T cell activation."" [ISBN:0781735149]",48,10,2,21026,0.2,0.041666666666666664,query_1,"['GO:0031294', 'GO:0050870']",GO:0031295,,
GO:BP,GO:0098534,centriole assembly,0.26393168847545456,True,"""A cellular process that results in the assembly of one or more centrioles."" [GOC:dos, PMID:24075808]",48,10,2,21026,0.2,0.041666666666666664,query_1,"['GO:0031023', 'GO:0140694']",GO:0098534,,
GO:MF,GO:0071074,eukaryotic initiation factor eIF2 binding,0.2673493746275682,True,"""Binding to eukaryotic initiation factor eIF2, a protein complex involved in the initiation of ribosome-mediated translation."" [GOC:hjd]",3,10,1,20246,0.1,0.3333333333333333,query_1,['GO:0031369'],GO:0071074,,
GO:MF,GO:0005006,epidermal growth factor receptor activity,0.2673493746275682,True,"""Combining with an epidermal growth factor receptor ligand and transmitting the signal across the plasma membrane to initiate a change in cell activity."" [GOC:bf]",3,10,1,20246,0.1,0.3333333333333333,query_1,['GO:0004714'],GO:0005006,,
GO:MF,GO:0043183,vascular endothelial growth factor receptor 1 binding,0.2673493746275682,True,"""Binding to a vascular endothelial growth factor receptor 1."" [GOC:st]",3,10,1,20246,0.1,0.3333333333333333,query_1,['GO:0005172'],GO:0043183,,
GO:MF,GO:0001002,RNA polymerase III type 1 promoter sequence-specific DNA binding,0.2673493746275682,True,"""Binding to a sequence of DNA that is a part of a type 1 promoter that controls transcription by RNA polymerase III. Type 1 promoters are found in 5S rRNA genes, downstream of the transcription start site within the sequence of the mature RNA, and require TFIIIA for recognition."" [GOC:txnOH, PMID:12381659]",3,10,1,20246,0.1,0.3333333333333333,query_1,"['GO:0000992', 'GO:0080084']",GO:0001002,,
GO:MF,GO:0001003,RNA polymerase III type 2 promoter sequence-specific DNA binding,0.2673493746275682,True,"""Binding to a sequence of DNA that is a part of a type 2 promoter that controls transcription by RNA polymerase III. Type 2 promoters consist of an A box and a B box downstream of the transcription start site within the sequence within the sequence of the mature RNA. Type 2 promoters are found in many tRNA genes as well as in other small RNAs."" [GOC:txnOH, PMID:12381659]",3,10,1,20246,0.1,0.3333333333333333,query_1,['GO:0000992'],GO:0001003,,
GO:MF,GO:0001025,RNA polymerase III general transcription initiation factor binding,0.2673493746275682,True,"""Binding to an RNA polymerase III transcription factor, a protein required to initiate or regulate transcription by RNA polymerase III."" [GOC:txnOH]",3,10,1,20246,0.1,0.3333333333333333,query_1,['GO:0140296'],GO:0001025,,
GO:MF,GO:0080084,5S rDNA binding,0.2673493746275682,True,"""Binding to a 5S rDNA sequence, encoding ribosomal 5S rRNA, which is individually transcribed by RNA polymerase III, rather than by RNA polymerase I, in species where it exists."" [PMID:12711688]",3,10,1,20246,0.1,0.3333333333333333,query_1,['GO:0000182'],GO:0080084,,
GO:BP,GO:0032868,response to insulin,0.2733269806627866,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an insulin stimulus. Insulin is a polypeptide hormone produced by the islets of Langerhans of the pancreas in mammals, and by the homologous organs of other organisms."" [GOC:mah, ISBN:0198506732]",270,10,3,21026,0.3,0.011111111111111112,query_1,['GO:0043434'],GO:0032868,,
GO:MF,GO:0046983,protein dimerization activity,0.2752384976204178,True,"""The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."" [ISBN:0198506732]",1126,10,4,20246,0.4,0.003552397868561279,query_1,['GO:0005515'],GO:0046983,,
GO:BP,GO:0003008,system process,0.27642471207587704,True,"""A multicellular organismal process carried out by any of the organs or tissues in an organ system. An organ system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a biological objective."" [GOC:mtg_cardio]",2293,10,6,21026,0.6,0.0026166593981683385,query_1,['GO:0032501'],GO:0003008,,
KEGG,KEGG:04540,Gap junction,0.2782119142231105,True,Gap junction,88,10,2,8484,0.2,0.022727272727272728,query_1,['KEGG:00000'],KEGG:04540,,
GO:CC,GO:0042995,cell projection,0.2800270771606922,True,"""A prolongation or process extending from a cell, e.g. a flagellum or axon."" [GOC:jl, PMID:16318917]",2441,10,5,22149,0.5,0.0020483408439164277,query_1,['GO:0110165'],GO:0042995,,
GO:BP,GO:0031294,lymphocyte costimulation,0.2864825116196561,True,"""The process of providing, via surface-bound receptor-ligand pairs, a second, antigen-independent, signal in addition to that provided by the B- or T cell receptor to augment B- or T cell activation."" [ISBN:0781735149]",50,10,2,21026,0.2,0.04,query_1,"['GO:0002376', 'GO:0051251']",GO:0031294,,
GO:BP,GO:0014037,Schwann cell differentiation,0.2864825116196561,True,"""The process in which a relatively unspecialized cell acquires the specialized features of a Schwann cell. Schwann cells are found in the peripheral nervous system, where they insulate neurons and axons, and regulate the environment in which neurons function."" [GOC:ef]",50,10,2,21026,0.2,0.04,query_1,"['GO:0007422', 'GO:0010001']",GO:0014037,,
GO:BP,GO:0051253,negative regulation of RNA metabolic process,0.2869097892805673,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",1400,10,5,21026,0.5,0.0035714285714285713,query_1,"['GO:0010605', 'GO:0016070', 'GO:0045934', 'GO:0051252']",GO:0051253,,
GO:BP,GO:0006338,chromatin remodeling,0.2899244058078798,True,"""A dynamic process of chromatin reorganization resulting in changes to chromatin structure. These changes allow DNA metabolic processes such as transcriptional regulation, DNA recombination, DNA repair, and DNA replication."" [GOC:jid, GOC:vw, PMID:12042764, PMID:12697820]",725,10,4,21026,0.4,0.005517241379310344,query_1,['GO:0006325'],GO:0006338,,
GO:BP,GO:0006412,translation,0.293006740431391,True,"""The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."" [GOC:go_curators]",727,10,4,21026,0.4,0.005502063273727648,query_1,"['GO:0009059', 'GO:0010467', 'GO:0019538']",GO:0006412,,
GO:CC,GO:0005856,cytoskeleton,0.2974756164373702,True,"""A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."" [GOC:mah, PMID:16959967, PMID:27419875]",2474,10,5,22149,0.5,0.002021018593371059,query_1,['GO:0043232'],GO:0005856,,
GO:BP,GO:0048009,insulin-like growth factor receptor signaling pathway,0.2981000206686167,True,"""The series of molecular signals initiated by a ligand binding to an insulin-like growth factor receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:ceb]",51,10,2,21026,0.2,0.0392156862745098,query_1,['GO:0007169'],GO:0048009,,
GO:BP,GO:0042311,vasodilation,0.2981000206686167,True,"""An increase in the internal diameter of blood vessels, especially arterioles or capillaries, due to relaxation of smooth muscle cells that line the vessels, and usually resulting in a decrease in blood pressure."" [GOC:pr, ISBN:0192800981]",51,10,2,21026,0.2,0.0392156862745098,query_1,['GO:0097746'],GO:0042311,,
GO:CC,GO:0097487,"multivesicular body, internal vesicle",0.2993556700114649,True,"""A membrane-bounded vesicle wholly contained within a multivesicular body."" [GOC:pde, PMID:21183070]",6,10,1,22149,0.1,0.16666666666666666,query_1,"['GO:0005771', 'GO:0031410']",GO:0097487,,
GO:CC,GO:0035749,myelin sheath adaxonal region,0.2993556700114649,True,"""The region of the myelin sheath nearest to the axon."" [GOC:BHF, PMID:20237282]",6,10,1,22149,0.1,0.16666666666666666,query_1,"['GO:0043209', 'GO:0110165']",GO:0035749,,
GO:CC,GO:0070533,BRCA1-C complex,0.2993556700114649,True,"""A protein complex that contains the BRCA1-BARD1 heterodimer, CtIP and Mre11/Rad50/NBS1 (M/R/N) complex, and binds to DNA at DNA damage sites. BRCA1-C binding ta damaged DNA is required for DNA damage-induced Chk1 phosphorylation and the G2/M transition checkpoint."" [GOC:mah, PMID:15485915, PMID:16391231]",6,10,1,22149,0.1,0.16666666666666666,query_1,['GO:0140513'],GO:0070533,,
GO:CC,GO:0031931,TORC1 complex,0.2993556700114649,True,"""A protein complex that contains at least TOR (target of rapamycin) and Raptor (regulatory-associated protein of TOR), or orthologs of, in complex with other signaling components. Mediates the phosphorylation and activation of S6K. In Saccharomyces, the complex contains Kog1p, Lst8p, Tco89p, and either Tor1p or Tor2p."" [GOC:jh, PMID:15780592, PMID:16469695, PMID:21548787]",6,10,1,22149,0.1,0.16666666666666666,query_1,['GO:0038201'],GO:0031931,,
GO:BP,GO:0001568,blood vessel development,0.30081677206536633,True,"""The process whose specific outcome is the progression of a blood vessel over time, from its formation to the mature structure. The blood vessel is the vasculature carrying blood."" [GOC:hjd, UBERON:0001981]",732,10,4,21026,0.4,0.00546448087431694,query_1,"['GO:0001944', 'GO:0048856']",GO:0001568,,
GO:BP,GO:0009057,macromolecule catabolic process,0.3037058840281268,True,"""The chemical reactions and pathways resulting in the breakdown of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]",1417,10,5,21026,0.5,0.0035285815102328866,query_1,"['GO:0009056', 'GO:0043170']",GO:0009057,,
GO:BP,GO:0010467,gene expression,0.3061526648440764,True,"""The process in which a gene's sequence is converted into a mature gene product (protein or RNA). This includes the production of an RNA transcript and its processing, as well as translation and maturation for protein-coding genes."" [GOC:txnOH-2018, PMID:25934543, PMID:31580950]",9224,10,10,21026,1.0,0.0010841283607979184,query_1,['GO:0009059'],GO:0010467,,
KEGG,KEGG:04912,GnRH signaling pathway,0.30994007246115457,True,GnRH signaling pathway,93,10,2,8484,0.2,0.021505376344086023,query_1,['KEGG:00000'],KEGG:04912,,
KEGG,KEGG:04520,Adherens junction,0.30994007246115457,True,Adherens junction,93,10,2,8484,0.2,0.021505376344086023,query_1,['KEGG:00000'],KEGG:04520,,
GO:BP,GO:0001836,release of cytochrome c from mitochondria,0.309945360285977,True,"""The process that results in the movement of cytochrome c from the mitochondrial intermembrane space into the cytosol, which is part of the apoptotic signaling pathway and leads to caspase activation."" [GOC:add, GOC:mah, GOC:mtg_apoptosis, ISBN:0721639976, PMID:12925707, PMID:9560217]",52,10,2,21026,0.2,0.038461538461538464,query_1,"['GO:0008637', 'GO:0097190']",GO:0001836,,
GO:BP,GO:0010332,response to gamma radiation,0.309945360285977,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a gamma radiation stimulus. Gamma radiation is a form of electromagnetic radiation (EMR) or light emission of a specific frequency produced from sub-atomic particle interaction, such as electron-positron annihilation and radioactive decay. Gamma rays are generally characterized as EMR having the highest frequency and energy, and also the shortest wavelength, within the electromagnetic radiation spectrum."" [GOC:tair_curators]",52,10,2,21026,0.2,0.038461538461538464,query_1,['GO:0010212'],GO:0010332,,
GO:BP,GO:0007611,learning or memory,0.3106246864999493,True,"""The acquisition and processing of information and/or the storage and retrieval of this information over time."" [GOC:jid, PMID:8938125]",282,10,3,21026,0.3,0.010638297872340425,query_1,"['GO:0007610', 'GO:0050890']",GO:0007611,,
GO:BP,GO:0000165,MAPK cascade,0.32017721067046134,True,"""An intracellular protein kinase cascade containing at least a MAP kinase (MAPK). It starts with the activation of a MAP3K, and the consecutive activation of a MPK2K and a MAPK. The cascade can also contain an additional tier: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier to transmit a signal within a cell."" [PMID:20811974, PMID:9561267]",744,10,4,21026,0.4,0.005376344086021506,query_1,['GO:0141124'],GO:0000165,,
GO:BP,GO:0034198,cellular response to amino acid starvation,0.3220183547700116,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of deprivation of amino acids."" [GOC:ecd]",53,10,2,21026,0.2,0.03773584905660377,query_1,"['GO:0009267', 'GO:1990928']",GO:0034198,,
GO:BP,GO:0051403,stress-activated MAPK cascade,0.3220183547700116,True,"""A MAPK cascade that starts with the activation of a stress-activated MAP kinase cascade."" [GOC:ai, PMID:15936270]",53,10,2,21026,0.2,0.03773584905660377,query_1,"['GO:0000165', 'GO:0031098']",GO:0051403,,
GO:BP,GO:1902692,regulation of neuroblast proliferation,0.3220183547700116,True,"""Any process that modulates the frequency, rate or extent of neuroblast proliferation."" [GO_REF:0000058, GOC:PARL, GOC:rl, GOC:TermGenie, PMID:21168496]",53,10,2,21026,0.2,0.03773584905660377,query_1,"['GO:0007405', 'GO:2000177']",GO:1902692,,
KEGG,KEGG:04666,Fc gamma R-mediated phagocytosis,0.3297476137843918,True,Fc gamma R-mediated phagocytosis,96,10,2,8484,0.2,0.020833333333333332,query_1,['KEGG:00000'],KEGG:04666,,
GO:BP,GO:0048146,positive regulation of fibroblast proliferation,0.334318828507272,True,"""Any process that activates or increases the frequency, rate or extent of multiplication or reproduction of fibroblast cells."" [GOC:jid]",54,10,2,21026,0.2,0.037037037037037035,query_1,"['GO:0008284', 'GO:0048144', 'GO:0048145']",GO:0048146,,
GO:MF,GO:0035639,purine ribonucleoside triphosphate binding,0.3376257193925393,True,"""Binding to a purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:BHF, GOC:ebc, ISBN:0198506732]",2087,10,5,20246,0.5,0.0023957834211787254,query_1,"['GO:0043168', 'GO:1901265', 'GO:1901363']",GO:0035639,,
GO:MF,GO:0030295,protein kinase activator activity,0.3411091856269524,True,"""Binds to and increases the activity of a protein kinase, an enzyme which phosphorylates a protein."" [GOC:ai]",134,10,2,20246,0.2,0.014925373134328358,query_1,"['GO:0004672', 'GO:0019209', 'GO:0019887']",GO:0030295,,
GO:CC,GO:0031410,cytoplasmic vesicle,0.34436054216876455,True,"""A vesicle found in the cytoplasm of a cell."" [GOC:ai, GOC:mah, GOC:vesicles]",2556,10,5,22149,0.5,0.0019561815336463224,query_1,"['GO:0005737', 'GO:0097708']",GO:0031410,,
GO:BP,GO:0002042,cell migration involved in sprouting angiogenesis,0.34684660597256245,True,"""The orderly movement of endothelial cells into the extracellular matrix in order to form new blood vessels involved in sprouting angiogenesis."" [PMID:16391003]",55,10,2,21026,0.2,0.03636363636363636,query_1,"['GO:0002040', 'GO:0043534']",GO:0002042,,
GO:BP,GO:0007162,negative regulation of cell adhesion,0.34758867553497985,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of cell adhesion."" [GOC:go_curators]",293,10,3,21026,0.3,0.010238907849829351,query_1,"['GO:0007155', 'GO:0030155', 'GO:0048523']",GO:0007162,,
GO:BP,GO:0043086,negative regulation of catalytic activity,0.34758867553497985,True,"""Any process that stops or reduces the activity of an enzyme."" [GOC:ebc, GOC:jl, GOC:tb, GOC:vw]",293,10,3,21026,0.3,0.010238907849829351,query_1,"['GO:0044092', 'GO:0050790']",GO:0043086,,
GO:CC,GO:0097708,intracellular vesicle,0.34799561478380864,True,"""Any vesicle that is part of the intracellular region."" [GOC:vesicles]",2562,10,5,22149,0.5,0.00195160031225605,query_1,"['GO:0031982', 'GO:0043231']",GO:0097708,,
GO:BP,GO:0001944,vasculature development,0.35089385262531514,True,"""The process whose specific outcome is the progression of the vasculature over time, from its formation to the mature structure. The vasculature is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the organism."" [GOC:dph, UBERON:0002409]",762,10,4,21026,0.4,0.005249343832020997,query_1,"['GO:0048731', 'GO:0072359']",GO:0001944,,
GO:MF,GO:0048408,epidermal growth factor binding,0.3563866051703727,True,"""Binding to epidermal growth factor."" [GOC:dgh]",4,10,1,20246,0.1,0.25,query_1,"['GO:0019838', 'GO:0042562']",GO:0048408,,
GO:MF,GO:0106017,"phosphatidylinositol-3,4-bisphosphate phosphatase activity",0.3563866051703727,True,"""Catalysis of the reaction: 1-phosphatidyl-1D-myo-inositol 3,4-bisphosphate + H2O = 1-phosphatidyl-1D-myo-inositol phosphate + phosphate."" [GOC:hjd]",4,10,1,20246,0.1,0.25,query_1,['GO:0034593'],GO:0106017,,
GO:BP,GO:0051962,positive regulation of nervous system development,0.3581424490302539,True,"""Any process that activates, maintains or increases the frequency, rate or extent of nervous system development, the origin and formation of nervous tissue."" [GOC:ai]",296,10,3,21026,0.3,0.010135135135135136,query_1,"['GO:0007399', 'GO:0051094', 'GO:0051240', 'GO:0051960']",GO:0051962,,
GO:BP,GO:0051347,positive regulation of transferase activity,0.3581424490302539,True,"""Any process that activates or increases the frequency, rate or extent of transferase activity, the catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from a donor compound to an acceptor."" [GOC:ai]",296,10,3,21026,0.3,0.010135135135135136,query_1,"['GO:0043085', 'GO:0051338']",GO:0051347,,
GO:BP,GO:0043536,positive regulation of blood vessel endothelial cell migration,0.3596015117288953,True,"""Any process that activates or increases the frequency, rate or extent of the migration of the endothelial cells of blood vessels."" [GOC:go_curators]",56,10,2,21026,0.2,0.03571428571428571,query_1,"['GO:0010595', 'GO:0043534', 'GO:0043535']",GO:0043536,,
GO:BP,GO:1990928,response to amino acid starvation,0.3596015117288953,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of deprivation of amino acids."" [PMID:7765311]",56,10,2,21026,0.2,0.03571428571428571,query_1,['GO:0042594'],GO:1990928,,
GO:BP,GO:0031663,lipopolysaccharide-mediated signaling pathway,0.3596015117288953,True,"""The series of molecular signals initiated by the binding of a lipopolysaccharide (LPS) to a receptor on the surface of a target cell, and ending with the regulation of a downstream cellular process, e.g. transcription. Lipopolysaccharides are major components of the outer membrane of Gram-negative bacteria, making them prime targets for recognition by the immune system."" [GOC:mah, GOC:signaling, PMID:15379975]",56,10,2,21026,0.2,0.03571428571428571,query_1,"['GO:0007166', 'GO:0071222']",GO:0031663,,
REAC,REAC:R-HSA-6796648,TP53 Regulates Transcription of DNA Repair Genes,0.36316476587423197,True,TP53 Regulates Transcription of DNA Repair Genes,61,10,2,11004,0.2,0.03278688524590164,query_1,['REAC:R-HSA-3700989'],REAC:R-HSA-6796648,,
KEGG,KEGG:05142,Chagas disease,0.3640334337569764,True,Chagas disease,101,10,2,8484,0.2,0.019801980198019802,query_1,['KEGG:00000'],KEGG:05142,,
GO:BP,GO:0009605,response to external stimulus,0.36924312503541284,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2415,10,6,21026,0.6,0.002484472049689441,query_1,['GO:0050896'],GO:0009605,,
GO:CC,GO:0005737,cytoplasm,0.3698989575061722,True,"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",12527,10,10,22149,1.0,0.0007982757244352199,query_1,"['GO:0005622', 'GO:0110165']",GO:0005737,,
GO:BP,GO:0031098,stress-activated protein kinase signaling cascade,0.3725833704274673,True,"""The series of molecular signals in which a stress-activated protein kinase (SAPK) cascade relays a signal."" [GOC:mah]",57,10,2,21026,0.2,0.03508771929824561,query_1,"['GO:0033554', 'GO:0035556']",GO:0031098,,
GO:BP,GO:0098916,anterograde trans-synaptic signaling,0.374369949548119,True,"""Cell-cell signaling from pre to post-synapse, across the synaptic cleft."" [GOC:dos]",775,10,4,21026,0.4,0.005161290322580645,query_1,['GO:0099537'],GO:0098916,,
GO:BP,GO:0007268,chemical synaptic transmission,0.374369949548119,True,"""The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:jl, MeSH:D009435]",775,10,4,21026,0.4,0.005161290322580645,query_1,['GO:0098916'],GO:0007268,,
REAC,REAC:R-HSA-76002,"Platelet activation, signaling and aggregation",0.37588420068570116,True,"Platelet activation, signaling and aggregation",259,10,3,11004,0.3,0.011583011583011582,query_1,['REAC:R-HSA-109582'],REAC:R-HSA-76002,,
GO:BP,GO:0051146,striated muscle cell differentiation,0.3761906011106306,True,"""The process in which a relatively unspecialized cell acquires specialized features of a striated muscle cell; striated muscle fibers are divided by transverse bands into striations, and cardiac and voluntary muscle are types of striated muscle."" [CL:0000737, GOC:ai]",301,10,3,21026,0.3,0.009966777408637873,query_1,['GO:0042692'],GO:0051146,,
GO:MF,GO:0002020,protease binding,0.3771227189504358,True,"""Binding to a protease or a peptidase."" [GOC:hjd]",141,10,2,20246,0.2,0.014184397163120567,query_1,['GO:0019899'],GO:0002020,,
